week_ending,Value,county_name,county_ansi,watershed_code,sector_desc,group_desc,region_desc,short_desc,unit_desc,location_desc,end_code,agg_level_desc,asd_desc,freq_desc,class_desc,asd_code,CV (%),begin_code,commodity_desc,domain_desc,country_name,reference_period_desc,state_fips_code,zip_5,load_time,source_desc,country_code,county_code,statisticcat_desc,congr_district_code,state_name,watershed_desc,prodn_practice_desc,state_ansi,state_alpha,year,util_practice_desc,domaincat_desc
,142,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,24.8,00,WHEAT,"AREA IRRIGATED, HARVESTED",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"AREA IRRIGATED, HARVESTED: (500 OR MORE ACRES)"
,60,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,53.1,00,WHEAT,"IRRIGATION METHOD, PRIMARY",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"IRRIGATION METHOD, PRIMARY: (GRAVITY)"
,"1,508",,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,13.9,00,WHEAT,"IRRIGATION METHOD, PRIMARY",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"IRRIGATION METHOD, PRIMARY: (PRESSURE)"
,"1,568",,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,13.8,00,WHEAT,TOTAL,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"1,548",,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,13.7,00,WHEAT,WATER SOURCE,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,WATER SOURCE: (GROUND)
,1,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,(H),00,WHEAT,WATER SOURCE,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,WATER SOURCE: (OFF FARM)
,40,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,67.7,00,WHEAT,WATER SOURCE,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,AREA HARVESTED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,WATER SOURCE: (ON FARM SURFACE)
,0.5,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE",ACRE FEET / ACRE,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,64.0,00,WHEAT,"IRRIGATION METHOD, PRIMARY",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,WATER APPLIED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"IRRIGATION METHOD, PRIMARY: (GRAVITY)"
,0.8,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE",ACRE FEET / ACRE,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,8.4,00,WHEAT,"IRRIGATION METHOD, PRIMARY",UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,WATER APPLIED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,"IRRIGATION METHOD, PRIMARY: (PRESSURE)"
,0.8,,,00000000,CROPS,FIELD CROPS,,"WHEAT, IRRIGATED - WATER APPLIED, MEASURED IN ACRE FEET / ACRE",ACRE FEET / ACRE,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,8.5,00,WHEAT,TOTAL,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,WATER APPLIED,,KANSAS,,IRRIGATED,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,780,,,00000000,ENVIRONMENTAL,FIELD CROPS,,"WHEAT, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,97.1,00,WHEAT,CHEMICAL,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,TREATED,,KANSAS,,"IRRIGATED, CHEMIGATION",20,KS,2023,ALL UTILIZATION PRACTICES,CHEMICAL: (TOTAL)
,"64,042",,,00000000,ENVIRONMENTAL,FIELD CROPS,,"WHEAT, IRRIGATED, CHEMIGATION - TREATED, MEASURED IN ACRES",ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,36.5,00,WHEAT,FERTILIZER,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,TREATED,,KANSAS,,"IRRIGATED, CHEMIGATION",20,KS,2023,ALL UTILIZATION PRACTICES,FERTILIZER: (TOTAL)
,6,,,00000000,ENVIRONMENTAL,FIELD CROPS,,"WHEAT, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,97.1,00,WHEAT,CHEMICAL,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,TREATED,,KANSAS,,"IRRIGATED, CHEMIGATION",20,KS,2023,ALL UTILIZATION PRACTICES,CHEMICAL: (TOTAL)
,283,,,00000000,ENVIRONMENTAL,FIELD CROPS,,"WHEAT, IRRIGATED, CHEMIGATION - OPERATIONS WITH TREATED",OPERATIONS,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,33.9,00,WHEAT,FERTILIZER,UNITED STATES,YEAR,20,,2024-10-31 12:00:00.000,CENSUS,9000,,TREATED,,KANSAS,,"IRRIGATED, CHEMIGATION",20,KS,2023,ALL UTILIZATION PRACTICES,FERTILIZER: (TOTAL)
,"5,750,000",,,00000000,CROPS,FIELD CROPS,,WHEAT - ACRES HARVESTED,ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,YEAR,20,,2024-09-30 12:00:00.000,SURVEY,9000,,AREA HARVESTED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"6,500,000",,,00000000,CROPS,FIELD CROPS,,WHEAT - ACRES HARVESTED,ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,YEAR - AUG FORECAST,20,,2023-08-11 12:00:00.000,SURVEY,9000,,AREA HARVESTED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"6,500,000",,,00000000,CROPS,FIELD CROPS,,WHEAT - ACRES HARVESTED,ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,YEAR - JUN ACREAGE,20,,2023-06-30 12:00:00.000,SURVEY,9000,,AREA HARVESTED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"8,100,000",,,00000000,CROPS,FIELD CROPS,,WHEAT - ACRES PLANTED,ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,YEAR,20,,2024-09-30 12:00:00.000,SURVEY,9000,,AREA PLANTED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"8,100,000",,,00000000,CROPS,FIELD CROPS,,WHEAT - ACRES PLANTED,ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,YEAR - JUN ACREAGE,20,,2023-06-30 12:00:00.000,SURVEY,9000,,AREA PLANTED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"8,100,000",,,00000000,CROPS,FIELD CROPS,,WHEAT - ACRES PLANTED,ACRES,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,YEAR - MAR ACREAGE,20,,2023-03-31 12:00:00.000,SURVEY,9000,,AREA PLANTED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,7.14,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,MARKETING YEAR,20,,2024-08-30 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,8.37,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,01,STATE,,MONTHLY,ALL CLASSES,,,01,WHEAT,TOTAL,UNITED STATES,JAN,20,,2023-08-31 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,8.62,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,02,STATE,,MONTHLY,ALL CLASSES,,,02,WHEAT,TOTAL,UNITED STATES,FEB,20,,2023-08-31 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,8.31,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,03,STATE,,MONTHLY,ALL CLASSES,,,03,WHEAT,TOTAL,UNITED STATES,MAR,20,,2023-08-31 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,8.5,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,04,STATE,,MONTHLY,ALL CLASSES,,,04,WHEAT,TOTAL,UNITED STATES,APR,20,,2023-08-31 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,8.33,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,05,STATE,,MONTHLY,ALL CLASSES,,,05,WHEAT,TOTAL,UNITED STATES,MAY,20,,2023-08-31 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,8.02,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,06,STATE,,MONTHLY,ALL CLASSES,,,06,WHEAT,TOTAL,UNITED STATES,JUN,20,,2024-08-30 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,8.12,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,07,STATE,,MONTHLY,ALL CLASSES,,,07,WHEAT,TOTAL,UNITED STATES,JUL,20,,2024-08-30 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,7.43,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,08,STATE,,MONTHLY,ALL CLASSES,,,08,WHEAT,TOTAL,UNITED STATES,AUG,20,,2024-08-30 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,7.08,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,09,STATE,,MONTHLY,ALL CLASSES,,,09,WHEAT,TOTAL,UNITED STATES,SEP,20,,2024-08-30 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,6.58,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,10,STATE,,MONTHLY,ALL CLASSES,,,10,WHEAT,TOTAL,UNITED STATES,OCT,20,,2024-08-30 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,6.22,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,11,STATE,,MONTHLY,ALL CLASSES,,,11,WHEAT,TOTAL,UNITED STATES,NOV,20,,2024-08-30 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,6.04,,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",$ / BU,KANSAS,12,STATE,,MONTHLY,ALL CLASSES,,,12,WHEAT,TOTAL,UNITED STATES,DEC,20,,2024-08-30 15:00:00.000,SURVEY,9000,,PRICE RECEIVED,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"1,436,925,000",,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRODUCTION, MEASURED IN $",$,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,YEAR,20,,2025-02-26 15:00:00.000,SURVEY,9000,,PRODUCTION,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"201,250,000",,,00000000,CROPS,FIELD CROPS,,"WHEAT - PRODUCTION, MEASURED IN BU",BU,KANSAS,00,STATE,,ANNUAL,ALL CLASSES,,,00,WHEAT,TOTAL,UNITED STATES,YEAR,20,,2024-09-30 12:00:00.000,SURVEY,9000,,PRODUCTION,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,4,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,01,STATE,,MONTHLY,ALL CLASSES,,,01,WHEAT,TOTAL,UNITED STATES,JAN,20,,2023-08-31 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,3,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,02,STATE,,MONTHLY,ALL CLASSES,,,02,WHEAT,TOTAL,UNITED STATES,FEB,20,,2023-08-31 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,4,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,03,STATE,,MONTHLY,ALL CLASSES,,,03,WHEAT,TOTAL,UNITED STATES,MAR,20,,2023-08-31 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,3,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,04,STATE,,MONTHLY,ALL CLASSES,,,04,WHEAT,TOTAL,UNITED STATES,APR,20,,2023-08-31 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,3,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,05,STATE,,MONTHLY,ALL CLASSES,,,05,WHEAT,TOTAL,UNITED STATES,MAY,20,,2023-08-31 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,11,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,06,STATE,,MONTHLY,ALL CLASSES,,,06,WHEAT,TOTAL,UNITED STATES,JUN,20,,2024-08-30 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,34,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,07,STATE,,MONTHLY,ALL CLASSES,,,07,WHEAT,TOTAL,UNITED STATES,JUL,20,,2024-08-30 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,10,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,08,STATE,,MONTHLY,ALL CLASSES,,,08,WHEAT,TOTAL,UNITED STATES,AUG,20,,2024-08-30 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,6,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,09,STATE,,MONTHLY,ALL CLASSES,,,09,WHEAT,TOTAL,UNITED STATES,SEP,20,,2024-08-30 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,4,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,10,STATE,,MONTHLY,ALL CLASSES,,,10,WHEAT,TOTAL,UNITED STATES,OCT,20,,2024-08-30 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,5,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,11,STATE,,MONTHLY,ALL CLASSES,,,11,WHEAT,TOTAL,UNITED STATES,NOV,20,,2024-08-30 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,6,,,00000000,CROPS,FIELD CROPS,,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",PCT OF MKTG YEAR,KANSAS,12,STATE,,MONTHLY,ALL CLASSES,,,12,WHEAT,TOTAL,UNITED STATES,DEC,20,,2024-08-30 15:00:00.000,SURVEY,9000,,SALES,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"163,609,000",,,00000000,CROPS,FIELD CROPS,,"WHEAT - STOCKS, MEASURED IN BU",BU,KANSAS,03,STATE,,POINT IN TIME,ALL CLASSES,,,03,WHEAT,TOTAL,UNITED STATES,FIRST OF MAR,20,,2024-01-09 15:00:00.000,SURVEY,9000,,STOCKS,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
,"93,958,000",,,00000000,CROPS,FIELD CROPS,,"WHEAT - STOCKS, MEASURED IN BU",BU,KANSAS,06,STATE,,POINT IN TIME,ALL CLASSES,,,06,WHEAT,TOTAL,UNITED STATES,FIRST OF JUN,20,,2024-01-09 15:00:00.000,SURVEY,9000,,STOCKS,,KANSAS,,ALL PRODUCTION PRACTICES,20,KS,2023,ALL UTILIZATION PRACTICES,NOT SPECIFIED
